sku,product_name,category,unit_cost,unit_price,case_cube_ft
PW-0087,Heavy-Duty Safety Glasses,safety,11.17,20.54,1.17
PW-0088,Bulk Ear Plugs,safety,19.97,33.75,1.15
PW-0089,Industrial Hard Hats,safety,28.54,47.96,0.67
PW-0090,Industrial First Aid Kit,safety,92.94,163.87,1.63
PW-0091,Pro Hi-Vis Vests,safety,6.56,11.02,0.92
PW-0092,Eco Respirator Masks,safety,58.78,88.65,0.37
PW-0093,Bulk Work Gloves,safety,31.98,61.31,1.81
PW-0094,Bulk Wet Floor Signs,safety,76.36,116.95,1.87
PW-0095,Everyday Safety Glasses II,safety,18.44,28.0,0.68
PW-0096,Heavy-Duty Ear Plugs II,safety,35.23,61.07,0.22
PW-0097,Pro Hard Hats II,safety,14.48,22.64,0.88
PW-0098,Everyday First Aid Kit II,safety,37.83,71.6,1.83
PW-0099,Compact Hi-Vis Vests II,safety,5.77,10.88,0.6
PW-0100,Everyday Respirator Masks II,safety,40.26,71.86,0.33
PW-0101,Compact Work Gloves II,safety,9.01,16.66,0.22
PW-0102,Premium Wet Floor Signs II,safety,6.84,12.96,0.65
PW-0103,Value Shipping Boxes,packaging,30.37,46.82,3.55
PW-0104,Standard Bubble Wrap,packaging,5.96,9.81,0.92
PW-0105,Everyday Packing Tape,packaging,5.31,8.33,0.84
PW-0106,Standard Stretch Film,packaging,4.37,6.92,1.98
PW-0107,Compact Mailers,packaging,16.39,26.79,2.07
PW-0108,Value Void Fill,packaging,5.26,7.56,2.91
PW-0109,Bulk Strapping Kits,packaging,30.04,46.33,1.35
PW-0110,Heavy-Duty Pallet Covers,packaging,5.34,7.04,3.5
PW-0111,Compact Shipping Boxes II,packaging,3.13,4.68,2.39
PW-0112,Premium Bubble Wrap II,packaging,6.53,8.94,3.17
PW-0113,Industrial Packing Tape II,packaging,3.56,5.48,2.75
PW-0114,Bulk Stretch Film II,packaging,11.05,14.68,1.12
PW-0115,Premium Mailers II,packaging,13.05,17.96,2.49
PW-0116,Industrial Void Fill II,packaging,21.18,29.49,2.73
PW-0117,Compact Strapping Kits II,packaging,21.59,30.69,1.62
PW-0118,Industrial Pallet Covers II,packaging,9.23,15.01,1.18
PW-0119,Compact Shipping Boxes Plus,packaging,23.22,36.67,1.84
PW-0120,Premium Bubble Wrap Plus,packaging,21.09,33.43,1.22
