order_id,order_date,customer_id,channel,sku,quantity,unit_price,discount_pct,line_total
O009054,2023-07-03,C0208,rep,PW-0020,12,9.81,0.123,103.21
O009054,2023-07-03,C0208,rep,PW-0040,12,37.64,0.123,396.02
O009054,2023-07-03,C0208,rep,PW-0026,8,26.87,0.123,188.47
O009054,2023-07-03,C0208,rep,PW-0041,8,10.8,0.123,75.75
O010728,2023-07-03,C0242,online,PW-0113,1,5.48,0.026,5.34
O010728,2023-07-03,C0242,online,PW-0050,1,36.02,0.026,35.07
O011194,2023-07-03,C0252,phone,PW-0066,1,13.92,0.038,13.38
O011194,2023-07-03,C0252,phone,PW-0079,2,20.73,0.038,39.86
O011194,2023-07-03,C0252,phone,PW-0106,1,6.92,0.038,6.65
O011225,2023-07-03,C0253,online,PW-0080,2,6.04,0.002,12.06
O011225,2023-07-03,C0253,online,PW-0027,2,95.75,0.002,191.11
O011653,2023-07-03,C0261,phone,PW-0085,1,51.95,0.037,50.02
O011653,2023-07-03,C0261,phone,PW-0083,1,6.83,0.037,6.58
O011653,2023-07-03,C0261,phone,PW-0098,1,71.6,0.037,68.94
O011654,2023-07-03,C0261,online,PW-0109,2,46.33,0.0,92.66
O011654,2023-07-03,C0261,online,PW-0090,2,163.87,0.0,327.74
O012689,2023-07-03,C0283,phone,PW-0046,1,105.33,0.034,101.75
O012747,2023-07-03,C0285,rep,PW-0055,4,67.63,0.184,220.75
O012747,2023-07-03,C0285,rep,PW-0037,11,118.04,0.184,1059.54
O013492,2023-07-03,C0305,phone,PW-0042,3,20.4,0.003,61.03
O013492,2023-07-03,C0305,phone,PW-0045,1,19.22,0.003,19.17
O013736,2023-07-03,C0308,rep,PW-0018,12,32.06,0.074,356.21
O013736,2023-07-03,C0308,rep,PW-0110,12,7.04,0.074,78.22
O013736,2023-07-03,C0308,rep,PW-0024,6,93.78,0.074,520.99
O013848,2023-07-03,C0311,phone,PW-0114,1,14.68,0.045,14.03
O013848,2023-07-03,C0311,phone,PW-0049,2,30.18,0.045,57.67
O013848,2023-07-03,C0311,phone,PW-0037,1,118.04,0.045,112.78
O013848,2023-07-03,C0311,phone,PW-0036,2,14.0,0.045,26.75
O013978,2023-07-03,C0313,phone,PW-0059,3,17.36,0.018,51.17
O013978,2023-07-03,C0313,phone,PW-0085,1,51.95,0.018,51.04
O013978,2023-07-03,C0313,phone,PW-0044,2,12.9,0.018,25.35
O013978,2023-07-03,C0313,phone,PW-0014,2,12.14,0.018,23.85
O013978,2023-07-03,C0313,phone,PW-0099,3,10.88,0.018,32.07
O013978,2023-07-03,C0313,phone,PW-0031,6,12.67,0.018,74.69
O013978,2023-07-03,C0313,phone,PW-0010,4,80.88,0.018,317.84
O014030,2023-07-03,C0315,phone,PW-0057,1,28.05,0.042,26.87
O014030,2023-07-03,C0315,phone,PW-0032,1,34.89,0.042,33.42
O014148,2023-07-03,C0317,rep,PW-0025,2,40.81,0.137,70.47
O014148,2023-07-03,C0317,rep,PW-0022,6,91.45,0.137,473.76
O014148,2023-07-03,C0317,rep,PW-0056,3,9.05,0.137,23.44
O014289,2023-07-03,C0319,online,PW-0029,1,8.25,0.106,7.38
O014620,2023-07-03,C0326,phone,PW-0062,4,58.94,0.0,235.76
O014620,2023-07-03,C0326,phone,PW-0021,4,54.06,0.0,216.24
O014620,2023-07-03,C0326,phone,PW-0022,3,91.45,0.0,274.35
O016031,2023-07-03,C0361,rep,PW-0021,3,54.06,0.208,128.52
O016031,2023-07-03,C0361,rep,PW-0035,3,9.06,0.208,21.54
O017651,2023-07-03,C0395,online,PW-0055,1,67.63,0.101,60.79
O017651,2023-07-03,C0395,online,PW-0019,1,9.73,0.101,8.75
O018611,2023-07-03,C0416,online,PW-0070,1,22.02,0.083,20.19
O018611,2023-07-03,C0416,online,PW-0001,1,11.36,0.083,10.42
O018611,2023-07-03,C0416,online,PW-0018,1,32.06,0.083,29.39
O020589,2023-07-03,C0462,phone,PW-0084,4,10.74,0.034,41.49
O020589,2023-07-03,C0462,phone,PW-0050,6,36.02,0.034,208.75
O020589,2023-07-03,C0462,phone,PW-0107,2,26.79,0.034,51.75
O023061,2023-07-03,C0520,phone,PW-0103,1,46.82,0.044,44.76
O023061,2023-07-03,C0520,phone,PW-0110,1,7.04,0.044,6.73
O023061,2023-07-03,C0520,phone,PW-0047,1,8.26,0.044,7.9
O023061,2023-07-03,C0520,phone,PW-0007,1,63.84,0.044,61.04
O023061,2023-07-03,C0520,phone,PW-0050,1,36.02,0.044,34.44
O023747,2023-07-03,C0540,online,PW-0009,1,8.76,0.071,8.14
O024639,2023-07-03,C0560,phone,PW-0078,1,19.98,0.0,19.98
O024639,2023-07-03,C0560,phone,PW-0106,2,6.92,0.0,13.84
O024639,2023-07-03,C0560,phone,PW-0052,1,21.67,0.0,21.67
O024639,2023-07-03,C0560,phone,PW-0019,1,9.73,0.0,9.73
O024639,2023-07-03,C0560,phone,PW-0100,3,71.86,0.0,215.58
O026744,2023-07-03,C0604,phone,PW-0001,1,11.36,0.029,11.03
O026744,2023-07-03,C0604,phone,PW-0038,1,21.66,0.029,21.03
O026744,2023-07-03,C0604,phone,PW-0012,1,54.27,0.029,52.69
O027314,2023-07-03,C0619,phone,PW-0077,1,4.19,0.0,4.19
O027314,2023-07-03,C0619,phone,PW-0002,1,8.48,0.0,8.48
O027314,2023-07-03,C0619,phone,PW-0009,1,8.76,0.0,8.76
O027338,2023-07-03,C0620,online,PW-0120,1,33.43,0.06,31.42
O027338,2023-07-03,C0620,online,PW-0044,1,12.9,0.06,12.12
O027338,2023-07-03,C0620,online,PW-0021,1,54.06,0.06,50.81
O027338,2023-07-03,C0620,online,PW-0106,1,6.92,0.06,6.5
O028177,2023-07-03,C0640,online,PW-0098,1,71.6,0.068,66.7
O028564,2023-07-03,C0650,online,PW-0064,1,35.85,0.018,35.22
O028564,2023-07-03,C0650,online,PW-0088,1,33.75,0.018,33.16
O028564,2023-07-03,C0650,online,PW-0100,1,71.86,0.018,70.6
O028683,2023-07-03,C0653,online,PW-0055,5,67.63,0.014,333.57
O028683,2023-07-03,C0653,online,PW-0118,1,15.01,0.014,14.81
O028886,2023-07-03,C0655,rep,PW-0104,10,9.81,0.139,84.45
O028886,2023-07-03,C0655,rep,PW-0087,12,20.54,0.139,212.19
O028886,2023-07-03,C0655,rep,PW-0096,18,61.07,0.139,946.35
O028886,2023-07-03,C0655,rep,PW-0053,5,14.38,0.139,61.9
O029359,2023-07-03,C0663,online,PW-0017,1,15.42,0.002,15.4
O029885,2023-07-03,C0676,online,PW-0112,1,8.94,0.071,8.3
O029885,2023-07-03,C0676,online,PW-0106,1,6.92,0.071,6.43
O029885,2023-07-03,C0676,online,PW-0117,1,30.69,0.071,28.51
O030078,2023-07-03,C0680,rep,PW-0032,1,34.89,0.18,28.61
O030078,2023-07-03,C0680,rep,PW-0104,2,9.81,0.18,16.09
O030078,2023-07-03,C0680,rep,PW-0087,4,20.54,0.18,67.36
O031925,2023-07-03,C0715,online,PW-0039,3,104.74,0.005,312.58
O031925,2023-07-03,C0715,online,PW-0118,1,15.01,0.005,14.93
O031926,2023-07-03,C0715,online,PW-0053,6,14.38,0.064,80.78
O031926,2023-07-03,C0715,online,PW-0036,4,14.0,0.064,52.43
O031926,2023-07-03,C0715,online,PW-0092,2,88.65,0.064,166.0
O032121,2023-07-03,C0720,phone,PW-0002,2,8.48,0.068,15.81
O032121,2023-07-03,C0720,phone,PW-0041,1,10.8,0.068,10.07
O032121,2023-07-03,C0720,phone,PW-0054,2,36.39,0.068,67.84
O032121,2023-07-03,C0720,phone,PW-0055,1,67.63,0.068,63.04
O032121,2023-07-03,C0720,phone,PW-0051,1,11.21,0.068,10.45
O032121,2023-07-03,C0720,phone,PW-0106,2,6.92,0.068,12.9
O032469,2023-07-03,C0726,online,PW-0082,1,11.37,0.016,11.19
O032469,2023-07-03,C0726,online,PW-0065,1,4.04,0.016,3.97
O032469,2023-07-03,C0726,online,PW-0063,2,9.62,0.016,18.93
O033669,2023-07-03,C0752,rep,PW-0071,4,44.55,0.109,158.76
O033669,2023-07-03,C0752,rep,PW-0002,1,8.48,0.109,7.55
O033669,2023-07-03,C0752,rep,PW-0093,2,61.31,0.109,109.24
O035276,2023-07-03,C0786,online,PW-0103,1,46.82,0.009,46.38
O035276,2023-07-03,C0786,online,PW-0107,1,26.79,0.009,26.54
O035577,2023-07-03,C0795,phone,PW-0090,2,163.87,0.081,301.29
O035577,2023-07-03,C0795,phone,PW-0012,1,54.27,0.081,49.89
O036464,2023-07-03,C0813,phone,PW-0038,2,21.66,0.067,40.43
O036464,2023-07-03,C0813,phone,PW-0094,2,116.95,0.067,218.29
O036464,2023-07-03,C0813,phone,PW-0037,1,118.04,0.067,110.16
O036464,2023-07-03,C0813,phone,PW-0006,1,7.73,0.067,7.21
O037465,2023-07-03,C0835,phone,PW-0057,3,28.05,0.064,78.78
O037465,2023-07-03,C0835,phone,PW-0109,1,46.33,0.064,43.37
O037465,2023-07-03,C0835,phone,PW-0056,2,9.05,0.064,16.94
O039201,2023-07-03,C0876,online,PW-0052,2,21.67,0.084,39.72
O039201,2023-07-03,C0876,online,PW-0062,6,58.94,0.084,324.08
O039201,2023-07-03,C0876,online,PW-0054,1,36.39,0.084,33.35
O039201,2023-07-03,C0876,online,PW-0061,7,8.97,0.084,57.54
O039270,2023-07-03,C0877,online,PW-0107,2,26.79,0.093,48.62
O039270,2023-07-03,C0877,online,PW-0001,1,11.36,0.093,10.31
O002533,2023-07-04,C0065,phone,PW-0006,1,7.73,0.074,7.16
O002533,2023-07-04,C0065,phone,PW-0058,1,24.57,0.074,22.76
O002533,2023-07-04,C0065,phone,PW-0002,2,8.48,0.074,15.71
O002533,2023-07-04,C0065,phone,PW-0024,1,93.78,0.074,86.85
O002533,2023-07-04,C0065,phone,PW-0053,1,14.38,0.074,13.32
O002533,2023-07-04,C0065,phone,PW-0056,1,9.05,0.074,8.38
O002533,2023-07-04,C0065,phone,PW-0046,3,105.33,0.074,292.65
O002863,2023-07-04,C0072,online,PW-0049,1,30.18,0.055,28.51
O005191,2023-07-04,C0130,rep,PW-0031,3,12.67,0.096,34.37
O005191,2023-07-04,C0130,rep,PW-0011,7,50.32,0.096,318.54
O005191,2023-07-04,C0130,rep,PW-0059,10,17.36,0.096,156.99
O005191,2023-07-04,C0130,rep,PW-0039,5,104.74,0.096,473.6
O005191,2023-07-04,C0130,rep,PW-0056,6,9.05,0.096,49.11
O005191,2023-07-04,C0130,rep,PW-0095,5,28.0,0.096,126.61
O005459,2023-07-04,C0136,rep,PW-0002,2,8.48,0.122,14.9
O005459,2023-07-04,C0136,rep,PW-0020,8,9.81,0.122,68.92
O006785,2023-07-04,C0162,phone,PW-0025,9,40.81,0.0,367.29
O006785,2023-07-04,C0162,phone,PW-0023,4,19.03,0.0,76.12
O006787,2023-07-04,C0162,phone,PW-0054,2,36.39,0.0,72.78
O008091,2023-07-04,C0190,phone,PW-0115,1,17.96,0.073,16.65
O009285,2023-07-04,C0211,phone,PW-0047,1,8.26,0.0,8.26
O009285,2023-07-04,C0211,phone,PW-0040,1,37.64,0.0,37.64
O009285,2023-07-04,C0211,phone,PW-0044,2,12.9,0.0,25.8
O009285,2023-07-04,C0211,phone,PW-0039,4,104.74,0.0,418.96
O009285,2023-07-04,C0211,phone,PW-0043,1,12.0,0.0,12.0
O009285,2023-07-04,C0211,phone,PW-0054,1,36.39,0.0,36.39
O010933,2023-07-04,C0247,rep,PW-0025,6,40.81,0.132,212.59
O010933,2023-07-04,C0247,rep,PW-0114,8,14.68,0.132,101.96
O010933,2023-07-04,C0247,rep,PW-0051,18,11.21,0.132,175.19
O013319,2023-07-04,C0301,online,PW-0006,1,7.73,0.027,7.52
O013319,2023-07-04,C0301,online,PW-0112,10,8.94,0.027,86.95
O014031,2023-07-04,C0315,phone,PW-0017,7,15.42,0.0,107.94
O014922,2023-07-04,C0330,online,PW-0005,2,7.82,0.012,15.45
O015500,2023-07-04,C0347,online,PW-0065,1,4.04,0.008,4.01
O015500,2023-07-04,C0347,online,PW-0021,1,54.06,0.008,53.61
O015500,2023-07-04,C0347,online,PW-0030,1,70.61,0.008,70.02
O016912,2023-07-04,C0376,online,PW-0060,2,44.53,0.0,89.06
O016912,2023-07-04,C0376,online,PW-0021,1,54.06,0.0,54.06
O016912,2023-07-04,C0376,online,PW-0004,2,87.75,0.0,175.5
O016912,2023-07-04,C0376,online,PW-0065,1,4.04,0.0,4.04
O017684,2023-07-04,C0396,phone,PW-0041,3,10.8,0.0,32.4
O017684,2023-07-04,C0396,phone,PW-0048,3,25.85,0.0,77.55
O018028,2023-07-04,C0403,phone,PW-0113,1,5.48,0.058,5.16
O018028,2023-07-04,C0403,phone,PW-0028,1,35.75,0.058,33.69
O019022,2023-07-04,C0424,online,PW-0065,1,4.04,0.047,3.85
O019022,2023-07-04,C0424,online,PW-0097,1,22.64,0.047,21.58
O019054,2023-07-04,C0425,rep,PW-0049,5,30.18,0.13,131.31
O019054,2023-07-04,C0425,rep,PW-0113,3,5.48,0.13,14.31
O019054,2023-07-04,C0425,rep,PW-0047,7,8.26,0.13,50.31
O019841,2023-07-04,C0445,phone,PW-0096,6,61.07,0.006,364.11
O019841,2023-07-04,C0445,phone,PW-0054,5,36.39,0.006,180.8
O019841,2023-07-04,C0445,phone,PW-0085,30,51.95,0.006,1548.66
O019841,2023-07-04,C0445,phone,PW-0056,12,9.05,0.006,107.91
O019841,2023-07-04,C0445,phone,PW-0035,13,9.06,0.006,117.04
O019908,2023-07-04,C0447,phone,PW-0107,1,26.79,0.063,25.11
O019908,2023-07-04,C0447,phone,PW-0087,1,20.54,0.063,19.25
O019908,2023-07-04,C0447,phone,PW-0056,1,9.05,0.063,8.48
O020054,2023-07-04,C0449,phone,PW-0029,7,8.25,0.001,57.69
O020054,2023-07-04,C0449,phone,PW-0005,9,7.82,0.001,70.31
O020431,2023-07-04,C0459,phone,PW-0085,9,51.95,0.0,467.55
O020431,2023-07-04,C0459,phone,PW-0106,4,6.92,0.0,27.68
O020431,2023-07-04,C0459,phone,PW-0116,2,29.49,0.0,58.98
O020431,2023-07-04,C0459,phone,PW-0111,26,4.68,0.0,121.68
O020431,2023-07-04,C0459,phone,PW-0109,6,46.33,0.0,277.98
O020431,2023-07-04,C0459,phone,PW-0113,11,5.48,0.0,60.28
O020431,2023-07-04,C0459,phone,PW-0115,3,17.96,0.0,53.88
O020431,2023-07-04,C0459,phone,PW-0114,8,14.68,0.0,117.44
O022095,2023-07-04,C0497,online,PW-0057,1,28.05,0.083,25.73
O023375,2023-07-04,C0529,phone,PW-0039,1,104.74,0.029,101.75
O023375,2023-07-04,C0529,phone,PW-0010,1,80.88,0.029,78.57
O023543,2023-07-04,C0534,online,PW-0047,1,8.26,0.026,8.04
O024559,2023-07-04,C0559,phone,PW-0055,2,67.63,0.0,135.26
O024559,2023-07-04,C0559,phone,PW-0117,1,30.69,0.0,30.69
O024559,2023-07-04,C0559,phone,PW-0032,2,34.89,0.0,69.78
O025556,2023-07-04,C0579,online,PW-0059,1,17.36,0.046,16.56
O025556,2023-07-04,C0579,online,PW-0027,1,95.75,0.046,91.32
O025556,2023-07-04,C0579,online,PW-0022,1,91.45,0.046,87.22
O025556,2023-07-04,C0579,online,PW-0049,1,30.18,0.046,28.78
O025556,2023-07-04,C0579,online,PW-0044,1,12.9,0.046,12.3
O025556,2023-07-04,C0579,online,PW-0038,1,21.66,0.046,20.66
O025556,2023-07-04,C0579,online,PW-0037,1,118.04,0.046,112.58
O025556,2023-07-04,C0579,online,PW-0015,1,67.01,0.046,63.91
O025556,2023-07-04,C0579,online,PW-0032,1,34.89,0.046,33.28
O025556,2023-07-04,C0579,online,PW-0006,1,7.73,0.046,7.37
O025558,2023-07-04,C0579,rep,PW-0100,5,71.86,0.145,307.1
O025558,2023-07-04,C0579,rep,PW-0012,3,54.27,0.145,139.15
O025558,2023-07-04,C0579,rep,PW-0106,4,6.92,0.145,23.66
O025558,2023-07-04,C0579,rep,PW-0055,15,67.63,0.145,867.05
O025558,2023-07-04,C0579,rep,PW-0011,5,50.32,0.145,215.04
O025558,2023-07-04,C0579,rep,PW-0004,7,87.75,0.145,525.0
O026743,2023-07-04,C0604,online,PW-0049,2,30.18,0.069,56.21
O026743,2023-07-04,C0604,online,PW-0074,3,8.22,0.069,22.96
O026743,2023-07-04,C0604,online,PW-0026,6,26.87,0.069,150.14
O026743,2023-07-04,C0604,online,PW-0070,3,22.02,0.069,61.52
O026743,2023-07-04,C0604,online,PW-0002,1,8.48,0.069,7.9
O027130,2023-07-04,C0613,rep,PW-0068,36,7.98,0.123,251.87
O027130,2023-07-04,C0613,rep,PW-0082,34,11.37,0.123,338.94
O027130,2023-07-04,C0613,rep,PW-0096,19,61.07,0.123,1017.32
O027130,2023-07-04,C0613,rep,PW-0104,17,9.81,0.123,146.22
O027130,2023-07-04,C0613,rep,PW-0108,25,7.56,0.123,165.71
O027130,2023-07-04,C0613,rep,PW-0083,41,6.83,0.123,245.52
O027130,2023-07-04,C0613,rep,PW-0028,54,35.75,0.123,1692.57
O027130,2023-07-04,C0613,rep,PW-0036,60,14.0,0.123,736.47
O027130,2023-07-04,C0613,rep,PW-0016,46,23.22,0.123,936.48
O027130,2023-07-04,C0613,rep,PW-0047,24,8.26,0.123,173.81
O027166,2023-07-04,C0615,online,PW-0097,1,22.64,0.059,21.29
O027166,2023-07-04,C0615,online,PW-0070,1,22.02,0.059,20.71
O027166,2023-07-04,C0615,online,PW-0017,1,15.42,0.059,14.5
O027166,2023-07-04,C0615,online,PW-0112,1,8.94,0.059,8.41
O027474,2023-07-04,C0623,rep,PW-0073,4,21.74,0.18,71.3
O028563,2023-07-04,C0650,online,PW-0073,3,21.74,0.008,64.73
O028563,2023-07-04,C0650,online,PW-0006,1,7.73,0.008,7.67
O029182,2023-07-04,C0658,rep,PW-0017,9,15.42,0.131,120.61
O029182,2023-07-04,C0658,rep,PW-0057,5,28.05,0.131,121.89
O029182,2023-07-04,C0658,rep,PW-0120,5,33.43,0.131,145.26
O029182,2023-07-04,C0658,rep,PW-0061,5,8.97,0.131,38.98
O029300,2023-07-04,C0662,rep,PW-0028,8,35.75,0.096,258.51
O029300,2023-07-04,C0662,rep,PW-0104,6,9.81,0.096,53.2
O029510,2023-07-04,C0666,online,PW-0047,1,8.26,0.096,7.47
O029510,2023-07-04,C0666,online,PW-0011,1,50.32,0.096,45.5
O030756,2023-07-04,C0695,phone,PW-0020,2,9.81,0.0,19.62
O030756,2023-07-04,C0695,phone,PW-0059,1,17.36,0.0,17.36
O030756,2023-07-04,C0695,phone,PW-0044,1,12.9,0.0,12.9
O030756,2023-07-04,C0695,phone,PW-0061,1,8.97,0.0,8.97
O033365,2023-07-04,C0745,online,PW-0001,1,11.36,0.0,11.36
O033365,2023-07-04,C0745,online,PW-0120,4,33.43,0.0,133.72
O033365,2023-07-04,C0745,online,PW-0114,1,14.68,0.0,14.68
O033365,2023-07-04,C0745,online,PW-0057,1,28.05,0.0,28.05
O033365,2023-07-04,C0745,online,PW-0118,1,15.01,0.0,15.01
O033366,2023-07-04,C0745,online,PW-0027,1,95.75,0.055,90.51
O033366,2023-07-04,C0745,online,PW-0051,3,11.21,0.055,31.79
O033366,2023-07-04,C0745,online,PW-0033,1,21.37,0.055,20.2
O033366,2023-07-04,C0745,online,PW-0055,2,67.63,0.055,127.85
O033366,2023-07-04,C0745,online,PW-0062,1,58.94,0.055,55.71
O034240,2023-07-04,C0764,phone,PW-0048,2,25.85,0.0,51.7
O034240,2023-07-04,C0764,phone,PW-0101,6,16.66,0.0,99.96
O034240,2023-07-04,C0764,phone,PW-0112,3,8.94,0.0,26.82
O034240,2023-07-04,C0764,phone,PW-0033,5,21.37,0.0,106.85
O034240,2023-07-04,C0764,phone,PW-0061,15,8.97,0.0,134.55
O035464,2023-07-04,C0790,rep,PW-0085,1,51.95,0.164,43.41
O035464,2023-07-04,C0790,rep,PW-0001,1,11.36,0.164,9.49
O035464,2023-07-04,C0790,rep,PW-0089,1,47.96,0.164,40.08
O035464,2023-07-04,C0790,rep,PW-0095,2,28.0,0.164,46.79
O035464,2023-07-04,C0790,rep,PW-0014,1,12.14,0.164,10.14
O035513,2023-07-04,C0793,phone,PW-0043,9,12.0,0.023,105.52
O035513,2023-07-04,C0793,phone,PW-0065,5,4.04,0.023,19.74
O035513,2023-07-04,C0793,phone,PW-0090,6,163.87,0.023,960.62
O035513,2023-07-04,C0793,phone,PW-0097,1,22.64,0.023,22.12
O035513,2023-07-04,C0793,phone,PW-0118,11,15.01,0.023,161.31
O035513,2023-07-04,C0793,phone,PW-0022,5,91.45,0.023,446.74
O035513,2023-07-04,C0793,phone,PW-0114,7,14.68,0.023,100.4
O035513,2023-07-04,C0793,phone,PW-0005,8,7.82,0.023,61.12
O035513,2023-07-04,C0793,phone,PW-0018,3,32.06,0.023,93.97
O035967,2023-07-04,C0801,online,PW-0044,1,12.9,0.037,12.43
O035967,2023-07-04,C0801,online,PW-0109,1,46.33,0.037,44.63
O035967,2023-07-04,C0801,online,PW-0056,1,9.05,0.037,8.72
O036714,2023-07-04,C0816,rep,PW-0073,12,21.74,0.089,237.63
O036886,2023-07-04,C0820,online,PW-0092,1,88.65,0.023,86.57
O036886,2023-07-04,C0820,online,PW-0079,2,20.73,0.023,40.49
O036886,2023-07-04,C0820,online,PW-0085,1,51.95,0.023,50.73
O037253,2023-07-04,C0829,phone,PW-0015,4,67.01,0.0,268.04
O037253,2023-07-04,C0829,phone,PW-0061,1,8.97,0.0,8.97
O038088,2023-07-04,C0848,rep,PW-0048,30,25.85,0.084,710.64
O038088,2023-07-04,C0848,rep,PW-0001,20,11.36,0.084,208.2
O038088,2023-07-04,C0848,rep,PW-0030,12,70.61,0.084,776.45
O038088,2023-07-04,C0848,rep,PW-0033,16,21.37,0.084,313.32
O038090,2023-07-04,C0848,online,PW-0069,1,7.15,0.039,6.87
O039955,2023-07-04,C0895,rep,PW-0092,3,88.65,0.192,214.78
O039955,2023-07-04,C0895,rep,PW-0074,7,8.22,0.192,46.47
O039955,2023-07-04,C0895,rep,PW-0118,3,15.01,0.192,36.37
O039955,2023-07-04,C0895,rep,PW-0003,3,10.1,0.192,24.47
O039955,2023-07-04,C0895,rep,PW-0012,14,54.27,0.192,613.59
O039955,2023-07-04,C0895,rep,PW-0101,3,16.66,0.192,40.36
O039955,2023-07-04,C0895,rep,PW-0095,3,28.0,0.192,67.84
O039955,2023-07-04,C0895,rep,PW-0045,11,19.22,0.192,170.74
O001173,2023-07-05,C0035,rep,PW-0074,1,8.22,0.194,6.62
O001173,2023-07-05,C0035,rep,PW-0058,1,24.57,0.194,19.8
O001173,2023-07-05,C0035,rep,PW-0014,1,12.14,0.194,9.78
O001442,2023-07-05,C0038,online,PW-0001,2,11.36,0.0,22.72
O001442,2023-07-05,C0038,online,PW-0117,1,30.69,0.0,30.69
O001442,2023-07-05,C0038,online,PW-0064,4,35.85,0.0,143.4
O001443,2023-07-05,C0038,rep,PW-0001,9,11.36,0.126,89.32
O001443,2023-07-05,C0038,rep,PW-0078,5,19.98,0.126,87.28
O001443,2023-07-05,C0038,rep,PW-0028,17,35.75,0.126,530.97
O001443,2023-07-05,C0038,rep,PW-0118,8,15.01,0.126,104.91
O001443,2023-07-05,C0038,rep,PW-0044,6,12.9,0.126,67.62
O001443,2023-07-05,C0038,rep,PW-0100,16,71.86,0.126,1004.5
O001444,2023-07-05,C0038,online,PW-0109,1,46.33,0.039,44.53
O001444,2023-07-05,C0038,online,PW-0061,1,8.97,0.039,8.62
O001444,2023-07-05,C0038,online,PW-0074,2,8.22,0.039,15.8
O001444,2023-07-05,C0038,online,PW-0044,4,12.9,0.039,49.6
O002944,2023-07-05,C0076,rep,PW-0040,4,37.64,0.066,140.64
O002944,2023-07-05,C0076,rep,PW-0015,3,67.01,0.066,187.79
O003147,2023-07-05,C0081,rep,PW-0044,5,12.9,0.142,55.34
O003147,2023-07-05,C0081,rep,PW-0058,12,24.57,0.142,252.98
O003147,2023-07-05,C0081,rep,PW-0065,2,4.04,0.142,6.93
O003147,2023-07-05,C0081,rep,PW-0061,7,8.97,0.142,53.88
O004838,2023-07-05,C0122,online,PW-0066,1,13.92,0.081,12.79
O004838,2023-07-05,C0122,online,PW-0054,1,36.39,0.081,33.43
O004838,2023-07-05,C0122,online,PW-0046,1,105.33,0.081,96.77
O004838,2023-07-05,C0122,online,PW-0090,1,163.87,0.081,150.55
O004838,2023-07-05,C0122,online,PW-0031,1,12.67,0.081,11.64
O004838,2023-07-05,C0122,online,PW-0055,1,67.63,0.081,62.13
O006654,2023-07-05,C0161,online,PW-0053,3,14.38,0.006,42.88
O006654,2023-07-05,C0161,online,PW-0081,3,10.94,0.006,32.62
O006654,2023-07-05,C0161,online,PW-0015,3,67.01,0.006,199.83
O006657,2023-07-05,C0161,rep,PW-0036,9,14.0,0.141,108.25
O006657,2023-07-05,C0161,rep,PW-0108,5,7.56,0.141,32.48
O006657,2023-07-05,C0161,rep,PW-0048,8,25.85,0.141,177.67
O006657,2023-07-05,C0161,rep,PW-0095,14,28.0,0.141,336.78
O006657,2023-07-05,C0161,rep,PW-0094,22,116.95,0.141,2210.5
O006657,2023-07-05,C0161,rep,PW-0007,8,63.84,0.141,438.78
O008341,2023-07-05,C0195,phone,PW-0106,2,6.92,0.031,13.41
O008341,2023-07-05,C0195,phone,PW-0095,1,28.0,0.031,27.12
O008341,2023-07-05,C0195,phone,PW-0116,1,29.49,0.031,28.57
O009286,2023-07-05,C0211,phone,PW-0039,2,104.74,0.055,197.93
