customer_id,orders_12m,revenue_12m,avg_order_value,avg_discount_pct,pct_online,aug_jan_share,weeks_since_last_order,business_type,region,tenure_months,pilot,churned
C0038,49,23578.05,499.29,0.063,0.333,0.167,1.3,retail,South Central,64.7,,0
C0039,2,87.47,77.18,0.053,1.0,0.294,9.4,clinic,South Central,38.2,1.0,1
C0040,11,1265.6,147.54,0.053,0.36,0.12,6.4,clinic,Southeast,40.9,,0
C0041,26,7107.46,492.63,0.061,0.361,0.194,8.6,restaurant,Southwest,65.7,,0
C0043,18,5973.42,299.14,0.081,0.25,0.438,5.4,school,Northeast,73.1,,1
C0044,8,19663.34,3891.68,0.082,0.188,0.25,12.9,school,Southwest,40.1,,1
C0045,6,1312.36,247.93,0.073,0.409,0.136,0.7,office,Northeast,58.4,,0
C0046,9,24663.42,2423.25,0.073,0.333,0.19,9.3,school,Northeast,38.8,,0
C0047,22,10837.9,485.37,0.063,0.432,0.099,21.9,restaurant,Southwest,58.0,,1
C0048,30,9345.33,492.51,0.074,0.254,0.127,1.3,restaurant,South Central,35.5,,0
C0049,18,2561.36,147.72,0.057,0.576,0.182,0.9,clinic,Northeast,47.3,,0
C0051,6,15263.44,2241.96,0.052,0.471,0.235,4.7,school,Northeast,53.8,,0
C0052,5,14031.31,2794.15,0.053,0.077,0.308,18.7,school,Northeast,81.4,,0
C0053,3,425.61,141.87,0.036,1.0,0.0,4.7,clinic,Northeast,5.2,0.0,0
C0054,21,8501.85,501.44,0.061,0.308,0.173,0.3,restaurant,Northeast,25.8,,0
C0055,6,296.46,171.84,0.069,0.474,0.211,29.4,clinic,Southwest,81.1,,1
C0056,37,15287.4,428.77,0.067,0.38,0.152,0.6,retail,Northeast,74.0,,0
C0057,12,632.62,70.31,0.048,0.87,0.261,19.7,retail,South Central,49.3,1.0,1
C0058,16,1654.21,121.47,0.056,0.438,0.156,3.3,restaurant,Northeast,76.2,,0
C0059,4,3496.05,1767.32,0.082,0.231,0.231,4.3,school,Northeast,58.7,,0
C0060,28,13985.52,494.33,0.068,0.288,0.169,1.3,restaurant,South Central,38.8,,0
C0061,11,857.52,77.96,0.041,1.0,0.0,2.9,office,South Central,13.6,0.0,0
C0062,13,3272.63,263.5,0.054,0.452,0.161,7.7,clinic,South Central,60.3,,0
C0063,7,314.79,80.23,0.036,1.0,0.059,0.6,clinic,South Central,60.1,0.0,0
C0064,23,7023.43,405.05,0.074,0.317,0.083,1.9,restaurant,South Central,73.3,,0
C0065,18,10005.86,494.97,0.076,0.265,0.181,20.3,restaurant,South Central,35.0,,1
C0066,8,665.72,64.88,0.045,1.0,0.36,15.6,nonprofit,Southeast,37.1,0.0,1
C0067,16,1766.86,110.43,0.04,1.0,0.312,1.7,restaurant,Northwest,7.5,1.0,0
C0068,3,545.14,111.85,0.061,0.818,0.182,19.4,office,Northeast,35.3,0.0,1
C0069,12,937.36,77.32,0.045,0.964,0.071,20.6,retail,North Central,68.5,1.0,1
C0070,30,11926.54,451.3,0.066,0.277,0.123,0.6,retail,Northeast,40.5,,0
C0071,24,16034.07,440.73,0.06,0.369,0.185,1.9,restaurant,Northeast,58.0,,0
C0072,17,1717.04,84.73,0.054,1.0,0.206,3.4,retail,North Central,72.4,1.0,0
C0073,7,14914.24,2867.33,0.095,0.353,0.471,5.3,school,South Central,88.1,,0
C0075,7,1232.4,176.06,0.101,0.286,0.0,6.7,clinic,Northeast,9.6,,0
C0076,9,1660.33,190.55,0.047,0.379,0.103,9.6,restaurant,Northeast,71.7,,0
C0077,9,650.71,115.65,0.041,1.0,0.2,2.4,clinic,Northeast,41.0,1.0,0
C0078,6,8643.79,1902.0,0.101,0.188,0.438,13.6,nonprofit,South Central,36.6,,0
C0079,9,1391.45,102.57,0.053,0.885,0.192,7.4,office,Northeast,40.8,0.0,0
C0080,27,8271.6,313.88,0.073,0.333,0.197,0.3,restaurant,South Central,41.2,,0
C0081,30,11271.58,414.88,0.058,0.296,0.211,2.7,restaurant,South Central,51.6,,0
C0082,35,10711.01,298.83,0.059,0.282,0.154,2.4,restaurant,South Central,39.5,,0
C0083,25,7745.54,369.42,0.061,0.476,0.214,0.3,restaurant,South Central,22.6,,0
C0084,14,1623.92,142.3,0.062,0.31,0.276,2.4,office,Northeast,51.9,,0
C0085,19,1217.52,92.78,0.047,0.955,0.227,2.7,nonprofit,Southeast,22.9,1.0,0
C0086,1,42.85,42.85,0.079,1.0,1.0,19.4,school,Northeast,7.1,,1
C0087,10,1638.9,266.32,0.07,0.348,0.217,0.3,office,North Central,81.0,,0
C0088,35,23338.72,609.5,0.067,0.338,0.296,4.9,restaurant,Northeast,83.4,,0
C0089,30,19576.05,474.41,0.069,0.235,0.111,0.3,restaurant,South Central,45.7,,0
C0090,9,14009.25,1626.42,0.07,0.318,0.136,13.4,nonprofit,North Central,35.5,,0
C0091,13,6164.91,474.22,0.061,0.462,0.154,9.3,restaurant,South Central,12.7,,1
C0092,6,228.5,39.93,0.058,1.0,0.24,19.3,retail,South Central,53.8,0.0,1
C0093,5,274.74,144.09,0.062,0.529,0.176,5.3,restaurant,South Central,86.1,,0
C0094,13,5338.15,304.23,0.066,0.265,0.088,4.4,clinic,South Central,64.6,,0
C0095,8,503.92,99.04,0.05,0.846,0.192,22.4,office,South Central,61.1,0.0,1
C0096,11,642.49,62.8,0.041,1.0,0.087,1.6,restaurant,Northeast,88.6,0.0,0
C0097,15,4850.01,418.54,0.076,0.448,0.138,3.7,retail,Northeast,16.9,,0
C0098,6,1153.93,210.01,0.065,0.409,0.182,17.4,restaurant,Northeast,30.6,,1
C0099,37,21290.5,515.55,0.075,0.247,0.136,2.3,restaurant,Northeast,74.2,,0
C0100,14,35241.58,2260.0,0.06,0.235,0.353,4.4,school,Northeast,75.5,,0
C0101,9,1976.28,363.33,0.08,0.281,0.219,17.4,retail,Northeast,89.4,,1
C0102,15,1863.92,179.99,0.074,0.233,0.233,1.4,retail,Northwest,54.4,,0
C0103,17,3118.66,179.07,0.081,0.419,0.129,1.4,office,Southwest,62.7,,0
C0104,16,834.55,55.22,0.041,0.909,0.212,5.3,office,Northeast,89.1,0.0,0
C0105,2,4784.86,2067.4,0.047,0.267,0.467,17.3,school,South Central,39.5,,0
C0106,13,27892.6,2256.72,0.089,0.143,0.333,13.9,school,Northwest,49.8,,0
C0107,29,9397.87,389.33,0.06,0.271,0.22,0.9,restaurant,South Central,50.5,,0
C0108,22,1659.98,71.4,0.046,0.938,0.156,3.3,retail,South Central,60.9,0.0,1
C0109,19,4435.01,199.93,0.06,0.351,0.243,4.6,office,Northeast,44.7,,0
C0110,21,6598.49,345.87,0.071,0.462,0.192,2.9,restaurant,Northeast,68.0,,0
C0112,10,1439.59,143.96,0.08,0.2,0.1,2.6,retail,Northeast,7.1,,1
C0113,9,2078.38,218.67,0.071,0.348,0.304,19.3,office,Northeast,43.3,,1
C0114,15,2158.71,197.34,0.065,0.286,0.327,3.7,nonprofit,South Central,35.6,,0
C0115,11,1328.68,103.39,0.037,0.958,0.25,15.4,clinic,Northeast,46.9,1.0,1
C0116,15,1834.84,139.99,0.054,0.4,0.067,3.4,office,Northwest,26.4,,0
C0117,8,1265.29,131.89,0.048,0.458,0.25,13.6,retail,South Central,69.5,,1
C0118,16,1423.13,178.35,0.074,0.5,0.028,0.4,retail,South Central,55.9,,0
C0119,26,5116.08,213.78,0.06,0.326,0.279,3.9,retail,South Central,32.4,,1
C0120,7,545.47,115.23,0.031,0.938,0.188,13.7,office,Northeast,68.0,0.0,1
C0121,15,3486.43,301.91,0.073,0.361,0.333,5.7,school,Northeast,50.6,,0
C0122,67,37979.35,515.85,0.068,0.319,0.167,1.4,restaurant,Northeast,57.2,,0
C0123,11,650.83,42.02,0.037,1.0,0.15,4.4,retail,South Central,63.5,1.0,0
C0124,8,1339.48,178.93,0.063,0.35,0.25,5.7,office,Northeast,28.7,,0
C0125,6,558.24,99.8,0.041,0.955,0.136,14.3,restaurant,South Central,57.7,0.0,0
C0126,14,2387.8,222.94,0.061,0.382,0.088,0.4,retail,South Central,39.7,,0
C0127,12,556.99,56.84,0.047,0.955,0.182,4.7,office,Northeast,55.8,1.0,0
C0128,12,619.34,51.55,0.049,1.0,0.036,1.3,clinic,Northeast,53.5,0.0,0
C0130,19,14132.19,704.36,0.072,0.184,0.122,2.7,restaurant,Northeast,59.0,,0
C0132,25,14046.35,516.44,0.067,0.338,0.197,0.9,restaurant,South Central,55.4,,0
C0133,3,382.64,84.68,0.041,1.0,0.308,20.4,office,South Central,69.5,0.0,1
C0134,31,10301.96,504.82,0.072,0.346,0.167,0.3,restaurant,South Central,42.8,,0
C0135,7,1912.97,151.21,0.037,0.842,0.158,13.7,office,South Central,63.2,0.0,1
C0136,16,2540.73,142.15,0.063,0.403,0.403,5.4,nonprofit,Northeast,83.9,,1
C0137,19,4571.05,216.06,0.073,0.364,0.136,3.3,clinic,North Central,16.2,,0
C0138,28,13874.77,480.9,0.081,0.288,0.273,1.4,restaurant,North Central,85.1,,0
C0139,16,3169.68,267.98,0.068,0.211,0.421,8.3,school,South Central,60.9,,1
C0140,10,21704.2,2556.45,0.095,0.421,0.263,0.3,school,Northwest,85.7,,0
C0141,11,20749.81,2205.69,0.054,0.207,0.517,8.4,nonprofit,Northeast,73.8,,0
C0142,37,11671.7,383.75,0.082,0.224,0.179,2.4,retail,Northeast,88.9,,0
C0143,10,1269.63,96.06,0.051,0.895,0.211,2.3,office,Northeast,25.0,0.0,0
C0144,10,1173.03,109.62,0.052,0.929,0.214,4.9,office,Southwest,38.5,1.0,0
C0145,43,20162.24,385.06,0.069,0.462,0.16,1.7,restaurant,South Central,65.0,,0
C0146,8,2052.78,390.69,0.06,0.368,0.316,4.4,retail,South Central,88.5,,1
C0147,13,3115.21,185.51,0.056,0.412,0.176,3.3,office,Northwest,38.4,,0
C0148,10,620.67,59.63,0.055,0.944,0.167,11.3,office,Southwest,26.3,1.0,0
C0149,8,20745.3,2382.23,0.051,0.231,0.385,20.6,nonprofit,Northeast,82.2,,0
C0150,5,1425.86,149.59,0.05,0.941,0.235,18.3,clinic,South Central,68.4,0.0,1
C0151,10,3527.51,332.84,0.076,0.281,0.062,0.6,clinic,South Central,57.1,,0
C0152,14,2330.16,200.52,0.078,0.276,0.276,6.6,nonprofit,South Central,77.4,,0
C0153,11,1210.3,128.49,0.055,0.393,0.214,5.9,office,Northwest,87.8,,0
C0154,24,14910.61,486.82,0.061,0.294,0.157,4.7,restaurant,Northeast,67.7,,0
C0155,9,24416.59,2403.84,0.057,0.188,0.375,3.7,school,Northeast,37.6,,0
C0156,41,20045.12,378.32,0.077,0.33,0.154,1.7,restaurant,South Central,30.1,,0
C0157,14,4867.25,292.28,0.076,0.326,0.261,15.6,clinic,South Central,74.5,,1
C0158,7,10217.99,2802.27,0.083,0.286,0.476,9.4,school,South Central,78.3,,1
C0159,46,23943.11,421.7,0.061,0.344,0.111,0.4,retail,South Central,32.1,,0
C0160,23,6804.06,397.87,0.063,0.41,0.231,19.6,restaurant,North Central,33.2,,1
C0161,51,22862.49,556.28,0.073,0.348,0.174,2.3,restaurant,North Central,40.2,,0
C0162,31,16925.07,470.11,0.058,0.299,0.196,2.3,restaurant,South Central,72.6,,0
C0163,18,1208.89,71.69,0.044,0.938,0.094,4.6,office,South Central,54.1,1.0,0
C0164,31,32778.59,700.52,0.065,0.394,0.227,1.6,restaurant,South Central,59.8,,0
C0165,25,15209.43,499.34,0.064,0.339,0.242,0.7,restaurant,Northeast,41.7,,0
C0166,4,6133.61,1940.15,0.077,0.304,0.261,8.7,school,Northeast,50.9,,0
C0167,16,1913.47,129.57,0.056,0.48,0.08,0.6,office,Northeast,25.0,,0
C0168,11,2676.66,404.01,0.063,0.423,0.077,0.3,retail,Northeast,42.0,,0
C0169,4,178.19,68.0,0.038,1.0,0.222,19.6,retail,Northeast,67.2,0.0,1
C0170,37,22397.22,533.51,0.071,0.436,0.191,1.4,restaurant,Northeast,63.1,,0
C0171,16,2056.01,193.35,0.078,0.447,0.342,0.7,clinic,North Central,54.4,,0
C0172,12,713.52,72.48,0.044,0.968,0.097,3.3,retail,Northeast,72.1,1.0,0
C0173,23,1539.57,64.67,0.048,0.933,0.2,1.7,office,Northeast,59.4,1.0,0
C0174,4,358.06,174.5,0.077,0.286,0.143,7.6,office,Northwest,17.1,,0
C0175,20,7477.7,373.88,0.068,0.2,0.15,0.3,restaurant,Southwest,11.8,,0
C0176,10,1899.54,291.11,0.072,0.37,0.074,5.4,clinic,South Central,73.4,,0
C0177,20,10314.29,368.53,0.056,0.412,0.176,0.7,restaurant,South Central,35.6,,0
C0178,13,35374.04,2282.16,0.073,0.174,0.304,18.4,school,Northeast,62.5,,0
C0179,9,969.94,104.19,0.072,0.391,0.087,1.9,office,North Central,65.7,,0
C0181,7,5421.5,1963.67,0.073,0.278,0.389,14.7,school,Northwest,70.9,,0
C0182,15,2769.63,183.16,0.06,0.333,0.111,7.4,office,South Central,13.6,,0
C0183,23,12833.66,535.38,0.071,0.278,0.111,0.4,retail,South Central,19.1,,0
C0184,7,10519.11,1925.93,0.091,0.28,0.44,2.9,school,North Central,65.3,,0
C0185,44,20378.07,452.19,0.066,0.34,0.184,1.3,restaurant,Southwest,87.2,,0
C0186,32,11181.24,438.25,0.062,0.377,0.117,0.6,restaurant,Southeast,43.3,,0
C0187,6,13957.97,1649.56,0.034,0.214,0.286,2.6,school,South Central,88.6,,0
C0188,14,32280.8,2473.58,0.062,0.281,0.312,4.7,school,North Central,70.6,,0
C0189,19,1052.07,63.41,0.049,0.905,0.214,1.7,office,South Central,71.9,0.0,0
C0190,11,1720.45,182.25,0.072,0.294,0.206,0.4,retail,South Central,86.2,,0
C0191,8,481.2,54.19,0.039,0.947,0.053,4.3,office,Northeast,75.1,0.0,0
C0192,24,14405.45,543.38,0.079,0.292,0.208,4.3,retail,Southwest,49.5,,0
C0193,19,2123.97,122.14,0.071,0.231,0.128,1.3,retail,North Central,71.6,,0
C0194,21,8814.54,510.3,0.058,0.308,0.218,20.6,restaurant,South Central,88.3,,1
C0195,12,2070.38,180.47,0.065,0.31,0.172,0.3,retail,South Central,51.7,,0
C0196,22,16276.2,596.21,0.074,0.37,0.093,8.3,restaurant,South Central,53.5,,1
C0197,25,20247.06,677.87,0.067,0.321,0.17,0.4,retail,Northeast,42.6,,0
C0198,19,6303.89,299.8,0.07,0.348,0.13,0.3,retail,South Central,35.2,,0
C0199,22,21455.58,534.95,0.074,0.284,0.243,18.7,restaurant,South Central,76.1,,1
C0200,21,6722.16,320.1,0.078,0.476,0.0,0.4,restaurant,Northeast,7.4,,0
C0201,21,1441.92,76.57,0.051,0.98,0.204,1.3,retail,South Central,31.4,0.0,0
C0202,11,2491.88,128.89,0.054,0.892,0.351,6.4,nonprofit,Northeast,77.0,0.0,1
C0203,8,407.96,86.6,0.041,1.0,0.0,2.3,office,South Central,72.0,1.0,0
C0204,6,325.86,77.09,0.046,0.957,0.087,6.7,office,South Central,49.5,1.0,0
C0205,18,1585.72,104.97,0.047,0.894,0.191,5.3,restaurant,South Central,88.3,1.0,1
C0206,34,15297.47,501.36,0.066,0.373,0.179,0.6,restaurant,Northeast,35.3,,0
C0207,38,25778.25,506.96,0.067,0.291,0.174,0.7,retail,Northeast,29.8,,0
C0208,40,16399.38,428.81,0.063,0.421,0.206,1.6,restaurant,Southwest,31.3,,0
C0209,16,1389.18,105.67,0.043,1.0,0.212,0.6,restaurant,Northeast,49.1,0.0,0
C0210,28,9355.39,471.46,0.056,0.421,0.088,0.9,restaurant,South Central,32.8,,0
C0211,30,16435.73,527.37,0.06,0.385,0.205,1.3,restaurant,Southwest,36.7,,0
C0212,10,696.04,87.4,0.03,1.0,0.167,22.7,restaurant,South Central,52.9,0.0,1
C0213,51,25534.47,524.9,0.067,0.329,0.235,0.3,restaurant,Northeast,88.0,,0
C0214,26,12036.38,420.01,0.077,0.426,0.118,4.6,restaurant,Northeast,42.5,,0
C0215,15,3227.82,305.16,0.059,0.31,0.103,0.7,clinic,Northeast,36.8,,0
C0217,25,4866.58,200.22,0.058,0.419,0.258,11.7,restaurant,Northeast,64.9,,1
C0218,21,7728.86,433.34,0.065,0.486,0.135,5.3,restaurant,Northeast,19.8,,1
C0219,14,983.42,84.62,0.047,0.897,0.207,1.9,retail,Northeast,76.4,0.0,0
C0220,10,2342.52,125.6,0.051,0.926,0.074,13.4,restaurant,South Central,81.1,0.0,1
C0221,8,648.41,68.66,0.048,0.95,0.2,4.9,office,Northeast,62.5,1.0,0
C0222,19,3365.9,213.57,0.064,0.351,0.324,3.9,school,Southwest,44.1,,0
C0223,33,14172.88,446.71,0.064,0.388,0.175,1.4,restaurant,South Central,26.5,,0
C0224,57,25574.21,445.5,0.066,0.375,0.158,0.3,restaurant,South Central,34.1,,0
C0225,40,20874.18,536.55,0.075,0.357,0.224,2.9,restaurant,Northeast,36.1,,0
C0226,9,3053.96,245.81,0.057,0.24,0.24,18.3,clinic,Northeast,69.6,,1
C0227,23,7799.39,430.9,0.058,0.453,0.113,0.7,restaurant,Northeast,61.2,,0
C0228,11,1512.83,117.39,0.068,0.375,0.167,8.3,retail,South Central,57.3,,1
C0229,21,2376.84,165.0,0.069,0.302,0.245,7.6,retail,South Central,50.7,,0
C0230,24,10284.43,428.52,0.069,0.25,0.083,0.3,restaurant,South Central,9.7,,1
C0231,17,2799.79,174.39,0.056,0.375,0.219,0.4,office,South Central,75.4,,0
C0232,5,778.6,164.37,0.064,0.296,0.148,5.4,restaurant,South Central,75.3,,0
C0233,10,20995.4,1793.48,0.068,0.143,0.5,5.9,nonprofit,North Central,18.7,,0
C0234,29,18221.64,583.84,0.07,0.4,0.2,2.3,restaurant,Northeast,14.9,,0
C0235,9,1965.72,218.41,0.085,0.333,0.0,5.4,clinic,North Central,11.9,,1
C0236,14,3409.18,224.79,0.079,0.312,0.188,0.7,restaurant,Northeast,16.4,,0
C0237,20,3751.98,174.02,0.083,0.378,0.2,9.3,office,South Central,54.2,,1
C0238,8,1758.95,188.48,0.055,0.474,0.184,7.7,office,South Central,88.7,,0
C0239,7,505.82,87.22,0.052,0.857,0.071,16.7,office,South Central,82.4,1.0,0
C0240,6,10318.53,1521.19,0.069,0.333,0.333,5.3,school,Southwest,66.2,,0
C0241,8,2672.01,249.89,0.067,0.478,0.13,1.6,clinic,South Central,41.9,,0
C0242,15,1346.9,107.03,0.042,0.907,0.14,2.9,restaurant,Northeast,83.3,1.0,0
C0243,17,3208.96,250.54,0.062,0.283,0.113,13.4,restaurant,South Central,49.6,,0
C0244,12,23947.82,2072.5,0.068,0.192,0.462,6.4,nonprofit,South Central,37.3,,0
C0245,5,273.41,150.94,0.073,0.36,0.2,1.4,school,Northeast,81.0,,0
C0246,11,4787.83,365.91,0.051,0.35,0.0,4.7,office,South Central,43.8,,0
C0247,36,20528.39,508.78,0.064,0.311,0.204,4.4,restaurant,Northeast,62.6,,0
C0248,16,2092.11,140.42,0.06,0.421,0.184,0.9,office,South Central,77.3,,0
C0249,10,1035.59,70.65,0.04,0.963,0.148,2.6,office,Northeast,71.3,1.0,0
C0250,9,2250.15,238.02,0.068,0.167,0.333,8.6,nonprofit,South Central,50.4,,0
C0251,8,539.8,98.83,0.045,0.971,0.229,18.6,restaurant,Southwest,70.6,1.0,1
C0252,9,2098.03,166.11,0.067,0.226,0.065,5.9,office,South Central,70.9,,1
C0253,46,21535.3,495.84,0.061,0.376,0.118,1.6,restaurant,South Central,31.9,,0
C0254,14,1432.75,93.5,0.053,0.444,0.222,16.4,office,South Central,21.6,,0
C0255,1,90.37,68.38,0.04,1.0,0.214,27.4,retail,North Central,37.9,1.0,1
C0256,13,1621.48,200.96,0.071,0.424,0.061,2.3,office,South Central,26.6,,0
C0257,17,1551.88,76.55,0.043,0.944,0.222,9.6,restaurant,Northeast,71.6,0.0,0
C0258,16,12604.64,595.49,0.053,0.389,0.296,5.3,restaurant,South Central,67.5,,0
C0259,36,11676.98,295.78,0.062,0.338,0.2,3.7,restaurant,South Central,62.6,,0
C0260,17,2166.17,168.82,0.067,0.333,0.282,14.3,office,South Central,60.1,,0
C0261,27,3875.62,176.1,0.059,0.379,0.19,9.4,clinic,Southwest,87.5,,1
C0262,10,4027.05,321.59,0.068,0.421,0.0,2.9,office,South Central,63.2,,0
C0263,52,23331.08,440.03,0.057,0.368,0.245,2.4,restaurant,Southwest,33.6,,0
C0264,15,2290.0,173.75,0.054,0.415,0.171,3.3,office,North Central,68.4,,0
C0265,9,588.22,80.47,0.045,0.957,0.13,8.3,office,Southwest,27.7,0.0,0
C0266,8,1646.86,196.29,0.058,0.591,0.136,0.9,clinic,Southeast,80.5,,0
C0267,9,707.81,78.61,0.033,1.0,0.278,19.7,nonprofit,Southeast,50.3,1.0,1
C0268,4,24802.4,3822.93,0.098,0.385,0.308,9.9,school,North Central,89.3,,0
C0269,10,2362.24,313.46,0.069,0.278,0.25,15.4,restaurant,South Central,34.7,,1
C0270,20,10097.0,439.08,0.058,0.365,0.25,17.6,restaurant,South Central,47.9,,1
C0271,13,1882.0,187.24,0.055,0.407,0.185,1.3,retail,South Central,83.5,,0
C0272,8,8363.23,1304.46,0.095,0.211,0.316,12.7,nonprofit,North Central,65.9,,0
C0273,5,9894.06,1978.81,0.031,0.4,0.6,9.9,school,South Central,11.7,,0
C0274,37,11578.34,408.56,0.06,0.344,0.094,1.7,retail,Northwest,67.9,,0
C0275,19,12551.64,391.93,0.057,0.326,0.14,2.7,clinic,South Central,89.2,,0
C0276,24,11843.96,520.86,0.059,0.382,0.218,0.9,restaurant,Northeast,50.1,,0
C0277,6,14257.41,2583.72,0.057,0.25,0.583,19.3,school,North Central,42.4,,0
C0278,67,56767.34,683.88,0.066,0.333,0.215,0.4,restaurant,Northeast,66.8,,0
C0279,5,848.13,165.11,0.068,0.444,0.111,19.3,office,South Central,60.1,,1
C0280,17,1661.44,114.8,0.045,0.97,0.212,0.9,restaurant,Northwest,76.7,0.0,0
C0281,9,600.55,66.73,0.022,1.0,0.444,17.3,retail,Northeast,8.7,0.0,1
C0282,15,1369.82,95.11,0.041,0.935,0.161,3.4,restaurant,South Central,63.0,0.0,0
C0283,22,5137.43,327.75,0.073,0.227,0.25,0.7,clinic,South Central,84.2,,0
C0284,3,3906.61,1302.2,0.124,0.0,0.0,1.7,school,South Central,5.7,,0
C0285,37,13661.43,492.34,0.071,0.3,0.125,1.7,restaurant,Southwest,72.9,,0
C0286,13,732.42,61.55,0.046,0.939,0.303,0.3,retail,Northeast,65.8,0.0,0
C0287,7,1005.62,105.84,0.054,0.966,0.069,10.9,retail,South Central,42.1,0.0,1
C0288,25,8437.7,337.51,0.067,0.4,0.08,0.9,retail,South Central,11.8,,0
C0289,14,3273.88,286.25,0.072,0.36,0.12,10.7,clinic,Northeast,81.1,,1
C0290,9,1086.97,89.01,0.026,0.87,0.174,4.3,restaurant,Northeast,65.6,0.0,0
C0291,11,2861.48,184.39,0.062,0.208,0.25,2.6,clinic,South Central,85.9,,0
C0292,13,1175.89,77.75,0.046,0.923,0.077,1.3,retail,Northwest,79.2,1.0,0
C0293,12,977.92,84.57,0.056,0.929,0.321,5.4,nonprofit,Southwest,26.5,1.0,0
C0294,15,1498.86,99.66,0.039,0.933,0.067,1.3,office,Northeast,61.9,0.0,0
C0295,13,5514.96,251.72,0.061,0.276,0.069,4.6,restaurant,South Central,87.8,,0
C0297,11,1066.76,105.03,0.041,0.955,0.273,18.6,nonprofit,Northeast,54.8,1.0,0
C0298,13,29550.27,2032.2,0.052,0.25,0.25,6.4,school,South Central,82.9,,0
C0299,16,1880.88,184.16,0.07,0.279,0.14,1.3,retail,South Central,88.4,,0
C0300,11,1602.01,205.38,0.074,0.407,0.148,0.4,retail,Northeast,38.0,,0
C0301,10,929.67,87.42,0.043,0.964,0.107,2.3,restaurant,South Central,77.1,1.0,0
C0302,10,716.28,91.79,0.038,0.964,0.143,7.3,restaurant,Northeast,61.0,1.0,1
C0303,31,12719.97,455.64,0.057,0.333,0.167,0.6,restaurant,Northeast,78.9,,0
C0304,17,2068.3,99.3,0.047,1.0,0.375,0.3,restaurant,Southeast,83.5,1.0,0
C0305,66,42942.01,564.52,0.071,0.333,0.182,0.3,restaurant,Southwest,79.5,,0
